Date : 2026-03-12 06:43:37
Directory : g:\sl_refactor
Total : 186 files,  20577 codes, 504 comments, 1466 blanks, all 22547 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| app\api\getposts\[[...slug]]                                                     |          1 |         42 |          4 |         13 |         59 |
| app\api\getuserinfo                                                              |          1 |         23 |          0 |          5 |         28 |
| app\api\getuserinfo\[id]                                                         |          1 |         23 |          0 |          5 |         28 |
| app\api\posts                                                                    |          2 |        195 |         20 |         47 |        262 |
| app\api\posts (Files)                                                            |          1 |        142 |         18 |         34 |        194 |
| app\api\posts\[postId]                                                           |          1 |         53 |          2 |         13 |         68 |
| app\api\posts\[postId]\like                                                      |          1 |         53 |          2 |         13 |         68 |
| app\api\register                                                                 |          1 |         55 |          2 |         15 |         72 |
| components                                                                       |         88 |      5,917 |        123 |        816 |      6,856 |
| components (Files)                                                               |         43 |      2,712 |        110 |        463 |      3,285 |
| components\hoofdmenu                                                             |         33 |      2,299 |         11 |        250 |      2,560 |
| components\hoofdmenu\beeld                                                       |          1 |         72 |          6 |          9 |         87 |
| components\hoofdmenu\buurt                                                       |          9 |        615 |          1 |         51 |        667 |
| components\hoofdmenu\historie                                                    |          1 |        143 |          1 |         21 |        165 |
| components\hoofdmenu\infographics                                                |          7 |        718 |          0 |         64 |        782 |
| components\hoofdmenu\infographics (Files)                                        |          6 |        611 |          0 |         53 |        664 |
| components\hoofdmenu\infographics\charts                                         |          1 |        107 |          0 |         11 |        118 |
| components\hoofdmenu\kunst                                                       |          1 |          8 |          0 |          2 |         10 |
| components\hoofdmenu\praktisch                                                   |         11 |        657 |          0 |         85 |        742 |
| components\hoofdmenu\praktisch (Files)                                           |          1 |        128 |          0 |          9 |        137 |
| components\hoofdmenu\praktisch\grofvuil                                          |          2 |        137 |          0 |         18 |        155 |
| components\hoofdmenu\praktisch\horeca                                            |          1 |         58 |          0 |          6 |         64 |
| components\hoofdmenu\praktisch\ov                                                |          5 |        240 |          0 |         37 |        277 |
| components\hoofdmenu\praktisch\winkels                                           |          1 |         50 |          0 |          7 |         57 |
| components\hoofdmenu\praktisch\zorg                                              |          1 |         44 |          0 |          8 |         52 |
| components\hoofdmenu\staatslieden                                                |          2 |         75 |          3 |         16 |         94 |
| components\hoofdmenu\westergas                                                   |          1 |         11 |          0 |          2 |         13 |
| components\praktisch                                                             |         10 |        582 |          0 |         64 |        646 |
| components\praktisch (Files)                                                     |          9 |        538 |          0 |         56 |        594 |
| components\praktisch\zorg                                                        |          1 |         44 |          0 |          8 |         52 |
| components\ui                                                                    |          2 |        324 |          2 |         39 |        365 |
| config                                                                           |          1 |          7 |          0 |          3 |         10 |
| connectDB                                                                        |          1 |         28 |          5 |         10 |         43 |
| context                                                                          |          1 |         15 |          0 |          6 |         21 |
| data                                                                             |          9 |      1,523 |          0 |         10 |      1,533 |
| helper                                                                           |          4 |         88 |          5 |         22 |        115 |
| hooks                                                                            |          1 |        241 |         37 |         46 |        324 |
| i18n                                                                             |          3 |         22 |          6 |          9 |         37 |
| lib                                                                              |          2 |         33 |          6 |          8 |         47 |
| messages                                                                         |          2 |        291 |          0 |          3 |        294 |
| models                                                                           |          7 |        167 |          2 |         31 |        200 |
| utils                                                                            |          9 |        306 |        238 |         93 |        637 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                         | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| g:\sl_refactor\.eslintrc.json                                                    | JSON with Comments |          3 |          0 |          1 |          4 |
| g:\sl_refactor\.prettierrc                                                       | JSON               |          4 |          0 |          1 |          5 |
| g:\sl_refactor\README.md                                                         | Markdown           |          7 |          0 |          8 |         15 |
| g:\sl_refactor\app\[locale]\layout.jsx                                           | JavaScript JSX     |         40 |          4 |          8 |         52 |
| g:\sl_refactor\app\[locale]\leesditeerst\page.jsx                                | JavaScript JSX     |          7 |          0 |          3 |         10 |
| g:\sl_refactor\app\[locale]\login\page.jsx                                       | JavaScript JSX     |          8 |          0 |          2 |         10 |
| g:\sl_refactor\app\[locale]\menu\beeld\page.jsx                                  | JavaScript JSX     |          9 |          0 |          4 |         13 |
| g:\sl_refactor\app\[locale]\menu\buurt\buurtteam\page.jsx                        | JavaScript JSX     |          9 |          0 |          3 |         12 |
| g:\sl_refactor\app\[locale]\menu\buurt\layout.jsx                                | JavaScript JSX     |         10 |          0 |          1 |         11 |
| g:\sl_refactor\app\[locale]\menu\contact\page.jsx                                | JavaScript JSX     |         20 |          0 |          6 |         26 |
| g:\sl_refactor\app\[locale]\menu\demografie\page.jsx                             | JavaScript JSX     |         10 |          0 |          4 |         14 |
| g:\sl_refactor\app\[locale]\menu\historie\page.jsx                               | JavaScript JSX     |          9 |          0 |          4 |         13 |
| g:\sl_refactor\app\[locale]\menu\kunst\page.jsx                                  | JavaScript JSX     |         12 |          0 |          3 |         15 |
| g:\sl_refactor\app\[locale]\menu\nieuws\page.jsx                                 | JavaScript JSX     |          8 |          0 |          4 |         12 |
| g:\sl_refactor\app\[locale]\menu\praktisch\afvalcontainers\page.jsx              | JavaScript JSX     |         23 |          0 |          4 |         27 |
| g:\sl_refactor\app\[locale]\menu\praktisch\dienstverlening\page.jsx              | JavaScript JSX     |         10 |          0 |          3 |         13 |
| g:\sl_refactor\app\[locale]\menu\praktisch\grofvuil\page.jsx                     | JavaScript JSX     |          8 |          0 |          3 |         11 |
| g:\sl_refactor\app\[locale]\menu\praktisch\horeca\page.jsx                       | JavaScript JSX     |         18 |          0 |          5 |         23 |
| g:\sl_refactor\app\[locale]\menu\praktisch\layout.jsx                            | JavaScript JSX     |         12 |          0 |          4 |         16 |
| g:\sl_refactor\app\[locale]\menu\praktisch\ov\page.jsx                           | JavaScript JSX     |          9 |          0 |          4 |         13 |
| g:\sl_refactor\app\[locale]\menu\praktisch\winkels\page.jsx                      | JavaScript JSX     |         15 |          0 |          3 |         18 |
| g:\sl_refactor\app\[locale]\menu\praktisch\zorg\page.jsx                         | JavaScript JSX     |         17 |          0 |          8 |         25 |
| g:\sl_refactor\app\[locale]\menu\staatslieden\page.jsx                           | JavaScript JSX     |          8 |          3 |          4 |         15 |
| g:\sl_refactor\app\[locale]\menu\westergas\page.jsx                              | JavaScript JSX     |          8 |          0 |          3 |         11 |
| g:\sl_refactor\app\[locale]\not-found.jsx                                        | JavaScript JSX     |         28 |          0 |          3 |         31 |
| g:\sl_refactor\app\[locale]\page.js                                              | JavaScript         |         15 |          0 |          5 |         20 |
| g:\sl_refactor\app\[locale]\postsByUserId\[postId]\layout.jsx                    | JavaScript JSX     |          7 |          0 |          2 |          9 |
| g:\sl_refactor\app\[locale]\postsByUserId\[postId]\page.jsx                      | JavaScript JSX     |         27 |          1 |          9 |         37 |
| g:\sl_refactor\app\[locale]\profile\page.jsx                                     | JavaScript JSX     |          8 |          0 |          3 |         11 |
| g:\sl_refactor\app\[locale]\register\page.jsx                                    | JavaScript JSX     |          6 |          0 |          3 |          9 |
| g:\sl_refactor\app\[locale]\sharedpost\[postId]\page.jsx                         | JavaScript JSX     |         16 |          1 |         10 |         27 |
| g:\sl_refactor\app\[locale]\weatherreport\page.jsx                               | JavaScript JSX     |          7 |          0 |          3 |         10 |
| g:\sl_refactor\app\api\auth\[...nextauth]\route.js                               | JavaScript         |          6 |          0 |          4 |         10 |
| g:\sl_refactor\app\api\comments\[commentId]\like\route.js                        | JavaScript         |         62 |          9 |         19 |         90 |
| g:\sl_refactor\app\api\comments\route.js                                         | JavaScript         |         71 |          2 |         17 |         90 |
| g:\sl_refactor\app\api\deleteAllNotifications\route.js                           | JavaScript         |         27 |          0 |          3 |         30 |
| g:\sl_refactor\app\api\deleteComment\[commentId]\route.js                        | JavaScript         |         60 |          5 |         14 |         79 |
| g:\sl_refactor\app\api\deleteImage\[postId]\route.js                             | JavaScript         |         31 |          0 |         11 |         42 |
| g:\sl_refactor\app\api\deletepost\[postId]\route.js                              | JavaScript         |         68 |          6 |         12 |         86 |
| g:\sl_refactor\app\api\editComment\[commentId]\route.js                          | JavaScript         |         38 |          1 |         14 |         53 |
| g:\sl_refactor\app\api\editpost\[postId]\route.js                                | JavaScript         |         57 |          4 |         17 |         78 |
| g:\sl_refactor\app\api\editprofile\route.js                                      | JavaScript         |         73 |          3 |         23 |         99 |
| g:\sl_refactor\app\api\getNotifications\route.js                                 | JavaScript         |         37 |          3 |         12 |         52 |
| g:\sl_refactor\app\api\getSinglePost\[postId]\route.js                           | JavaScript         |         40 |          3 |         13 |         56 |
| g:\sl_refactor\app\api\getposts\[[...slug]]\route.js                             | JavaScript         |         42 |          4 |         13 |         59 |
| g:\sl_refactor\app\api\getuserinfo\[id]\route.js                                 | JavaScript         |         23 |          0 |          5 |         28 |
| g:\sl_refactor\app\api\posts\[postId]\like\route.js                              | JavaScript         |         53 |          2 |         13 |         68 |
| g:\sl_refactor\app\api\posts\route.js                                            | JavaScript         |        142 |         18 |         34 |        194 |
| g:\sl_refactor\app\api\register\route.js                                         | JavaScript         |         55 |          2 |         15 |         72 |
| g:\sl_refactor\app\globals.css                                                   | PostCSS            |        132 |          5 |         26 |        163 |
| g:\sl_refactor\components.json                                                   | JSON               |         22 |          0 |          0 |         22 |
| g:\sl_refactor\components\AddPost.jsx                                            | JavaScript JSX     |         53 |          2 |         10 |         65 |
| g:\sl_refactor\components\AddPostModal.jsx                                       | JavaScript JSX     |        141 |          3 |         25 |        169 |
| g:\sl_refactor\components\AuthProvider.jsx                                       | JavaScript JSX     |          6 |          0 |          3 |          9 |
| g:\sl_refactor\components\ClientSpinner.jsx                                      | JavaScript JSX     |          4 |          0 |          1 |          5 |
| g:\sl_refactor\components\CloseSinglePostButton.jsx                              | JavaScript JSX     |         16 |          0 |          4 |         20 |
| g:\sl_refactor\components\Comment.jsx                                            | JavaScript JSX     |        130 |          1 |         17 |        148 |
| g:\sl_refactor\components\CommentOptions.jsx                                     | JavaScript JSX     |         70 |          0 |          8 |         78 |
| g:\sl_refactor\components\EditCommentForm.jsx                                    | JavaScript JSX     |         78 |          3 |         20 |        101 |
| g:\sl_refactor\components\EditPostForm.jsx                                       | JavaScript JSX     |        236 |          9 |         36 |        281 |
| g:\sl_refactor\components\Editordelete.jsx                                       | JavaScript JSX     |         62 |          0 |          9 |         71 |
| g:\sl_refactor\components\Footer.jsx                                             | JavaScript JSX     |          8 |          0 |          5 |         13 |
| g:\sl_refactor\components\GetAllPosts.jsx                                        | JavaScript JSX     |         45 |          1 |         11 |         57 |
| g:\sl_refactor\components\Hamburger.jsx                                          | JavaScript JSX     |         18 |          0 |          6 |         24 |
| g:\sl_refactor\components\LanguageSwitcher.jsx                                   | JavaScript JSX     |         24 |         13 |          9 |         46 |
| g:\sl_refactor\components\LeesDit.jsx                                            | JavaScript JSX     |         34 |          0 |          6 |         40 |
| g:\sl_refactor\components\LeesDitEerst.jsx                                       | JavaScript JSX     |         50 |          0 |          7 |         57 |
| g:\sl_refactor\components\LikeAndShareButtons.jsx                                | JavaScript JSX     |         53 |          1 |         11 |         65 |
| g:\sl_refactor\components\LikeButton.jsx                                         | JavaScript JSX     |         25 |          1 |          5 |         31 |
| g:\sl_refactor\components\LikeandShareBar.jsx                                    | JavaScript JSX     |         10 |          0 |          3 |         13 |
| g:\sl_refactor\components\LoginForm.jsx                                          | JavaScript JSX     |        126 |          0 |         14 |        140 |
| g:\sl_refactor\components\LoginRegisterLogout.jsx                                | JavaScript JSX     |         55 |          0 |         11 |         66 |
| g:\sl_refactor\components\Menu.jsx                                               | JavaScript JSX     |         38 |          2 |          7 |         47 |
| g:\sl_refactor\components\MenuOverlay.jsx                                        | JavaScript JSX     |         48 |          0 |          6 |         54 |
| g:\sl_refactor\components\Navbar.jsx                                             | JavaScript JSX     |         37 |          0 |          7 |         44 |
| g:\sl_refactor\components\NavbarNotificationBadge.jsx                            | JavaScript JSX     |         47 |          0 |          9 |         56 |
| g:\sl_refactor\components\NotificationListItems.jsx                              | JavaScript JSX     |         78 |          0 |          6 |         84 |
| g:\sl_refactor\components\PostComment.jsx                                        | JavaScript JSX     |         58 |          4 |          9 |         71 |
| g:\sl_refactor\components\PostCommentForm.jsx                                    | JavaScript JSX     |         85 |          0 |         19 |        104 |
| g:\sl_refactor\components\PostUserName.jsx                                       | JavaScript JSX     |         19 |          0 |          5 |         24 |
| g:\sl_refactor\components\ProfileForm.jsx                                        | JavaScript JSX     |        150 |          2 |         25 |        177 |
| g:\sl_refactor\components\RegisterForm.jsx                                       | JavaScript JSX     |        161 |          0 |         17 |        178 |
| g:\sl_refactor\components\SharedPost.jsx                                         | JavaScript JSX     |         60 |          0 |         11 |         71 |
| g:\sl_refactor\components\SideBarNotificationList.jsx                            | JavaScript JSX     |        118 |         57 |         24 |        199 |
| g:\sl_refactor\components\SingleNotificationPost.jsx                             | JavaScript JSX     |         23 |          0 |          4 |         27 |
| g:\sl_refactor\components\SinglePost.jsx                                         | JavaScript JSX     |        120 |          2 |         22 |        144 |
| g:\sl_refactor\components\Spinner.jsx                                            | JavaScript JSX     |         20 |          4 |          6 |         30 |
| g:\sl_refactor\components\TitleBar.jsx                                           | JavaScript JSX     |          9 |          0 |          3 |         12 |
| g:\sl_refactor\components\ToggleButton.jsx                                       | JavaScript JSX     |         23 |          1 |          6 |         30 |
| g:\sl_refactor\components\TranslateButton.jsx                                    | JavaScript JSX     |         16 |          0 |          4 |         20 |
| g:\sl_refactor\components\Weather.jsx                                            | JavaScript JSX     |         63 |          3 |         13 |         79 |
| g:\sl_refactor\components\Weatherreport.jsx                                      | JavaScript JSX     |         40 |          0 |          5 |         45 |
| g:\sl_refactor\components\WeerMorgen.jsx                                         | JavaScript JSX     |        127 |          1 |         18 |        146 |
| g:\sl_refactor\components\WeerVandaag.jsx                                        | JavaScript JSX     |        128 |          0 |         16 |        144 |
| g:\sl_refactor\components\hoofdmenu\beeld\Beeld.jsx                              | JavaScript JSX     |         72 |          6 |          9 |         87 |
| g:\sl_refactor\components\hoofdmenu\buurt\Administratie.jsx                      | JavaScript JSX     |         56 |          0 |          2 |         58 |
| g:\sl_refactor\components\hoofdmenu\buurt\Buurtteam.jsx                          | JavaScript JSX     |        121 |          1 |         21 |        143 |
| g:\sl_refactor\components\hoofdmenu\buurt\Financien.jsx                          | JavaScript JSX     |         62 |          0 |          3 |         65 |
| g:\sl_refactor\components\hoofdmenu\buurt\Gezondheid.jsx                         | JavaScript JSX     |         85 |          0 |          3 |         88 |
| g:\sl_refactor\components\hoofdmenu\buurt\Huisvesting.jsx                        | JavaScript JSX     |         51 |          0 |          2 |         53 |
| g:\sl_refactor\components\hoofdmenu\buurt\Ontmoeten.jsx                          | JavaScript JSX     |        105 |          0 |          9 |        114 |
| g:\sl_refactor\components\hoofdmenu\buurt\Veiligheid.jsx                         | JavaScript JSX     |         50 |          0 |          5 |         55 |
| g:\sl_refactor\components\hoofdmenu\buurt\Werk.jsx                               | JavaScript JSX     |         41 |          0 |          2 |         43 |
| g:\sl_refactor\components\hoofdmenu\buurt\Zorg.jsx                               | JavaScript JSX     |         44 |          0 |          4 |         48 |
| g:\sl_refactor\components\hoofdmenu\historie\Historie.jsx                        | JavaScript JSX     |        143 |          1 |         21 |        165 |
| g:\sl_refactor\components\hoofdmenu\infographics\EenpersoonshuishoudensChart.jsx | JavaScript JSX     |         99 |          0 |          9 |        108 |
| g:\sl_refactor\components\hoofdmenu\infographics\GemiddeldeHuurPrijsChart.jsx    | JavaScript JSX     |         94 |          0 |          9 |        103 |
| g:\sl_refactor\components\hoofdmenu\infographics\InkomensChart.jsx               | JavaScript JSX     |         98 |          0 |          9 |        107 |
| g:\sl_refactor\components\hoofdmenu\infographics\InwonersChart.jsx               | JavaScript JSX     |         76 |          0 |         10 |         86 |
| g:\sl_refactor\components\hoofdmenu\infographics\LeeftijdscategorieenChart.jsx   | JavaScript JSX     |        122 |          0 |          9 |        131 |
